,support,stop_ID,direction
109,0.001515917,60081,672 U. of Manitoba via Killarney
110,0.001515917,40336,47 University of Manitoba
111,0.001515917,60078,672 Prairie Pointe via Killarney
112,0.001515917,60155,47 University of Manitoba
113,0.001515917,11030,BLUE Downtown
114,0.001515917,60073,671 U. of Manitoba via Dalhousie
115,0.001515917,60074,672 U. of Manitoba via Killarney
116,0.001515917,40195,47 University of Manitoba
117,0.001515917,10565,11 Glenway
118,0.001515917,10549,11 Polo Park
119,0.001515917,10546,21 Grace Hospital
120,0.001515917,10615,BLUE St. Norbert
121,0.001515917,61211,BLUE St. Norbert
122,0.001515917,10629,18 Riverbend
123,0.001515917,10573,11 North Kildonan via Rothesay
124,0.001515917,10573,11 Glenway
125,0.001515917,10205,36 Health Sciences Centre
126,0.001515917,60246,60 University of Manitoba
127,0.001515917,60057,672 Prairie Pointe via Killarney
128,0.001263264,10710,49 North Transcona
129,0.001263264,60083,672 U. of Manitoba via Killarney
130,0.001263264,60674,60 Downtown
131,0.001263264,60107,75 University of Manitoba
132,0.001263264,40308,90 North Transcona
133,0.001263264,60148,60 University of Manitoba
134,0.001263264,60064,672 Prairie Pointe via Killarney
135,0.001263264,60239,47 University of Manitoba
136,0.001263264,60075,672 U. of Manitoba via Killarney
137,0.001263264,60151,60 University of Manitoba
138,0.001263264,60246,47 University of Manitoba
139,0.001263264,10548,11 Polo Park
140,0.001263264,10612,BLUE Downtown
141,0.001263264,60114,75 Kildonan Place
142,0.001263264,10563,11 Glenway
143,0.001263264,10562,11 North Kildonan via Donwood
144,0.001263264,10548,11 Crestview
145,0.001263264,60076,672 Prairie Pointe via Killarney
146,0.001263264,11028,BLUE Downtown
147,0.001263264,10549,11 Westwood
148,0.001263264,60097,60 Downtown
149,0.001263264,10566,11 Glenway
150,0.001263264,61254,36 University of Manitoba
151,0.001263264,10817,36 University of Manitoba
152,0.001263264,60125,60 University of Manitoba
153,0.001263264,60051,662 University of Manitoba
154,0.001263264,60105,47 Transcona via Regent
155,0.001263264,60103,36 Health Sciences Centre
156,0.001263264,60103,47 Transcona via Regent
157,0.001263264,60063,672 U. of Manitoba via Killarney
158,0.001263264,40470,47 University of Manitoba
159,0.001263264,60251,36 University of Manitoba
160,0.001263264,60158,672 U. of Manitoba via Killarney
161,0.001263264,10629,11 North Kildonan via Rothesay
162,0.001263264,60114,78 Polo Park
163,0.001263264,60078,662 Markham Station
164,0.001263264,61205,BLUE St. Norbert
165,0.001263264,60144,60 University of Manitoba
166,0.001263264,11033,BLUE St. Norbert
167,0.001263264,60144,47 University of Manitoba
168,0.001263264,10576,11 Glenway
169,0.001263264,60910,75 University of Manitoba
170,0.001263264,60118,60 University of Manitoba
171,0.001263264,61205,BLUE St. Norbert
172,0.001263264,50401,75 Kildonan Place
173,0.001010611,60111,75 Kildonan Place
174,0.001010611,61113,60 University of Manitoba
175,0.001010611,60244,47 Transcona via Regent
176,0.001010611,61114,60 University of Manitoba
177,0.001010611,50588,54 Downtown
178,0.001010611,10197,36 University of Manitoba
179,0.001010611,10102,36 University of Manitoba
180,0.001010611,60523,66 Unicity
181,0.001010611,10482,15 Inkster Park via Inkster
182,0.001010611,60084,662 Markham Station
183,0.001010611,60050,662 Markham Station
184,0.001010611,60721,75 University of Manitoba
185,0.001010611,10548,21 Grace Hospital
186,0.001010611,50586,54 Downtown
187,0.001010611,61253,672 U. of Manitoba via Killarney
188,0.001010611,60041,662 University of Manitoba
189,0.001010611,60910,75 University of Manitoba
190,0.001010611,10629,44 Kildonan Place via Louelda
191,0.001010611,10629,44 Kildonan Place via London
192,0.001010611,60046,662 Markham Station
193,0.001010611,60120,60 Downtown
