,support,itemsets
19,0.0007579585649317837,11 10546 Via St.Charles
1042,0.0007579585649317837,78 61253 Polo Park
680,0.0007579585649317837,49 50157 To North Transcona
22,0.0007579585649317837,11 10547 To Polo Park
1021,0.0007579585649317837,78 60112 University of Manitoba
1157,0.0007579585649317837,BLUE 61214 To Downtown
664,0.0007579585649317837,47 60237 To University of Manitoba
1152,0.0007579585649317837,BLUE 61212 University of Manitoba
564,0.0007579585649317837,44 10630 To Kildonan Place via Louelda
1029,0.0007579585649317837,78 60194 Polo Park
24,0.0007579585649317837,11 10547 Via Glenway
672,0.0007579585649317837,47 60718 To University of Manitoba
29,0.0007579585649317837,11 10548 Via St.Charles
707,0.0005053057099545225,54 50686 To Downtown
660,0.0005053057099545225,47 60154 To University of Manitoba
633,0.0005053057099545225,47 60108 Via Regent
897,0.0005053057099545225,672 60672 Prairie Pointe
679,0.0005053057099545225,49 10804 To North Transcona
413,0.0005053057099545225,21 20418 To Downtown
439,0.0005053057099545225,24 20143 To Downtown
868,0.0005053057099545225,672 60051 University of Manitoba
748,0.0005053057099545225,60 60126 To Downtown
453,0.0005053057099545225,24 20183 To Downtown
702,0.0005053057099545225,54 50587 To Downtown
645,0.0005053057099545225,47 60139 To University of Manitoba
694,0.0005053057099545225,50 50083 To Sage Creek
722,0.0005053057099545225,55 50271 Via Dakota
443,0.0005053057099545225,24 20166 To Downtown
894,0.0005053057099545225,672 60425 Prairie Pointe
689,0.0005053057099545225,50 50078 To Sage Creek
731,0.0005053057099545225,60 10078 To University of Manitoba
678,0.0005053057099545225,49 10803 To North Transcona
649,0.0005053057099545225,47 60146 Via Regent
887,0.0005053057099545225,672 60090 Prairie Pointe
869,0.0005053057099545225,672 60056 University of Manitoba
652,0.0005053057099545225,47 60149 Via Regent
444,0.0005053057099545225,24 20174 To Downtown
455,0.0005053057099545225,24 20184 To Unicity
512,0.0005053057099545225,36 10417 To U of Manitoba
632,0.0005053057099545225,47 60108 Via Kildare
846,0.0005053057099545225,671 60071 University of Manitoba
576,0.0005053057099545225,44 40828 To Downtown via Louelda
574,0.0005053057099545225,44 40472 To Downtown via Louelda
569,0.0005053057099545225,44 40296 To Kildonan Place via London
797,0.0005053057099545225,66 10070 To Unicity
803,0.0005053057099545225,66 10782 To Unicity
553,0.0005053057099545225,44 10357 To Downtown via Louelda
547,0.0005053057099545225,38 30178 To The Forks Market
814,0.0005053057099545225,66 60524 To Unicity
542,0.0005053057099545225,38 10759 To Templeton & McPhillips
816,0.0005053057099545225,662 60036 University of Manitoba
817,0.0005053057099545225,662 60038 University of Manitoba
819,0.0005053057099545225,662 60043 University of Manitoba
629,0.0005053057099545225,47 60105 Via Kildare
