,support,itemsets
18,0.0027791814047498737,11 10561
820,0.0027791814047498737,BLUE 10624
365,0.0027791814047498737,36 60105
867,0.0025265285497726125,BLUE 61255
453,0.0025265285497726125,47 60113
556,0.0025265285497726125,60 60140
743,0.0022738756947953513,75 60910
637,0.0022738756947953513,671 60068
33,0.0022738756947953513,11 10576
582,0.0022738756947953513,60 61116
455,0.0022738756947953513,47 60138
361,0.0022738756947953513,36 30491
23,0.0022738756947953513,11 10566
692,0.0022738756947953513,672 61254
241,0.00202122283981809,21 10548
586,0.00202122283981809,60 61253
465,0.00202122283981809,47 60153
565,0.00202122283981809,60 60153
43,0.00202122283981809,11 10634
739,0.00202122283981809,75 60138
865,0.00202122283981809,BLUE 61218
642,0.00202122283981809,671 60075
723,0.00202122283981809,75 50407
184,0.00202122283981809,18 10631
546,0.00202122283981809,60 60123
357,0.00202122283981809,36 10815
828,0.00202122283981809,BLUE 11030
775,0.00202122283981809,78 60103
460,0.00202122283981809,47 60148
291,0.00202122283981809,24 20178
391,0.00202122283981809,44 10629
242,0.00202122283981809,21 10549
493,0.0017685699848408287,50 50079
358,0.0017685699848408287,36 10817
623,0.0017685699848408287,662 60077
135,0.0017685699848408287,15 10482
445,0.0017685699848408287,47 60103
21,0.0017685699848408287,11 10564
352,0.0017685699848408287,36 10426
25,0.0017685699848408287,11 10568
558,0.0017685699848408287,60 60146
292,0.0017685699848408287,24 20179
29,0.0017685699848408287,11 10572
27,0.0017685699848408287,11 10570
717,0.0017685699848408287,75 50401
713,0.0017685699848408287,74 62020
732,0.0017685699848408287,75 60107
446,0.0017685699848408287,47 60105
666,0.0015159171298635675,672 60074
672,0.0015159171298635675,672 60081
457,0.0015159171298635675,47 60144
186,0.0015159171298635675,18 10633
662,0.0015159171298635675,672 60057
680,0.0015159171298635675,672 60158
182,0.0015159171298635675,18 10629
467,0.0015159171298635675,47 60155
649,0.0015159171298635675,671 60105
367,0.0015159171298635675,36 60251
364,0.0015159171298635675,36 60103
641,0.0015159171298635675,671 60073
670,0.0015159171298635675,672 60078
53,0.0015159171298635675,11 30099
782,0.0015159171298635675,78 60114
347,0.0015159171298635675,36 10205
573,0.0015159171298635675,60 60246
429,0.0015159171298635675,47 40195
45,0.0015159171298635675,11 10637
817,0.0015159171298635675,BLUE 10615
32,0.0015159171298635675,11 10575
31,0.0015159171298635675,11 10574
436,0.0015159171298635675,47 40336
11,0.0015159171298635675,11 10551
665,0.0012632642748863063,672 60064
452,0.0012632642748863063,47 60112
624,0.0012632642748863063,662 60078
458,0.0012632642748863063,47 60146
52,0.0012632642748863063,11 30098
557,0.0012632642748863063,60 60144
3,0.0012632642748863063,11 10542
47,0.0012632642748863063,11 10714
200,0.0012632642748863063,18 30089
668,0.0012632642748863063,672 60076
463,0.0012632642748863063,47 60151
371,0.0012632642748863063,36 61254
537,0.0012632642748863063,60 60097
547,0.0012632642748863063,60 60125
667,0.0012632642748863063,672 60075
36,0.0012632642748863063,11 10579
544,0.0012632642748863063,60 60120
563,0.0012632642748863063,60 60151
674,0.0012632642748863063,672 60083
542,0.0012632642748863063,60 60118
664,0.0012632642748863063,672 60063
560,0.0012632642748863063,60 60148
471,0.0012632642748863063,47 60239
475,0.0012632642748863063,47 60246
577,0.0012632642748863063,60 60674
618,0.0012632642748863063,662 60051
392,0.0012632642748863063,44 10630
440,0.0012632642748863063,47 40470
804,0.0012632642748863063,90 40308
816,0.0012632642748863063,BLUE 10612
580,0.0012632642748863063,60 61114
203,0.0012632642748863063,18 30094
835,0.0012632642748863063,BLUE 60069
480,0.0012632642748863063,49 10710
343,0.001010611419909045,36 10102
472,0.001010611419909045,47 60242
628,0.001010611419909045,662 60084
571,0.001010611419909045,60 60243
208,0.001010611419909045,18 30416
617,0.001010611419909045,662 60050
262,0.001010611419909045,22 10545
615,0.001010611419909045,662 60046
232,0.001010611419909045,19 10770
506,0.001010611419909045,54 50588
512,0.001010611419909045,55 10159
612,0.001010611419909045,662 60041
341,0.001010611419909045,36 10094
473,0.001010611419909045,47 60243
484,0.001010611419909045,49 50157
231,0.001010611419909045,19 10769
541,0.001010611419909045,60 60117
474,0.001010611419909045,47 60244
607,0.001010611419909045,66 60523
569,0.001010611419909045,60 60239
293,0.001010611419909045,24 20181
221,0.001010611419909045,19 10490
477,0.001010611419909045,47 60718
579,0.001010611419909045,60 61113
555,0.001010611419909045,60 60138
346,0.001010611419909045,36 10197
504,0.001010611419909045,54 50586
447,0.001010611419909045,47 60107
141,0.001010611419909045,15 10534
451,0.001010611419909045,47 60111
40,0.001010611419909045,11 10583
712,0.001010611419909045,74 61254
46,0.001010611419909045,11 10712
448,0.001010611419909045,47 60108
721,0.001010611419909045,75 50405
148,0.001010611419909045,15 11039
742,0.001010611419909045,75 60721
37,0.001010611419909045,11 10580
62,0.001010611419909045,11 40443
749,0.001010611419909045,77 10372
846,0.001010611419909045,BLUE 60124
435,0.001010611419909045,47 40322
777,0.001010611419909045,78 60107
784,0.001010611419909045,78 60141
